Создано программой GetData Graph Digitizer 2.26.0.20, дата создания February 21 2017, 03:13,
на основе файла 'Z:\Study\МСС\ЦНИИМАШ\Сканы эксперимента\frame4.jpg'

Линия #1
 6.00139224234714e+001    1.01720706487953e+001
 6.08857939908465e+001    9.68323456224310e+000
 6.19979716668293e+001    9.76804907711995e+000
 6.30238557147450e+001    9.30458158557471e+000
 6.39044663157585e+001    8.95070195104410e+000
 6.48882367643180e+001    8.96798592980951e+000
 6.59136936732052e+001    8.19243998552345e+000
 6.69574367502339e+001    8.27722563965512e+000
 6.80259423466210e+001    7.70412699997749e+000
 6.88811785804785e+001    7.56110036208691e+000
 7.00610058431465e+001    7.07239414888797e+000
 7.09585750180235e+001    6.60887254344552e+000
 7.19162322643506e+001    6.29719814113712e+000
 7.28139399708045e+001    5.93489116901603e+000
 7.39513534823664e+001    5.70763805393150e+000
 7.49085951339629e+001    5.09231975165906e+000
 7.59172320005634e+001    4.52763041160618e+000
 7.70028808795832e+001    3.97984264544517e+000

Линия #4
 5.98008954912012e+001    1.07792682588947e+001
 6.09301818169224e+001    1.08640899889579e+001
 6.19388994936094e+001    1.03584425183424e+001
 6.38629645641999e+001    9.87848471852404e+000
 6.49484056458544e+001    9.17887500238101e+000
 6.58890350525294e+001    8.92623525432377e+000
 6.69409861254854e+001    8.75798793274523e+000
 6.80096187091512e+001    8.27766937361216e+000
 6.89932159932397e+001    8.16843506072589e+000
 7.00358046404615e+001    7.40976543717968e+000
 7.09169924563784e+001    7.47761344148801e+000
 7.18317280024843e+001    7.05627181511576e+000
 7.28578660249576e+001    6.77836448465965e+000
 7.39946099672315e+001    6.06190730852194e+000
 7.49946925089627e+001    5.49721436087591e+000
 7.59354604472146e+001    5.34578924614002e+000
 7.70045201699090e+001    5.17754913974777e+000
 7.75168907511124e+001    4.52830503152459e+000

Линия #5
 5.96480143518714e+001    1.15804858360121e+001
 5.99897832962088e+001    1.12854207925507e+001
 6.10844482720206e+001    1.10750187450540e+001
 6.19396267843877e+001    1.08898193432795e+001
 6.28974802837819e+001    1.07215323381764e+001
 6.39919143736324e+001    1.03424392351441e+001
 6.49751076072884e+001    9.93799557507055e+000
 6.58896699889232e+001    9.39013565704661e+000
 6.69414825303023e+001    9.12067370214672e+000
 6.79423962614945e+001    9.16326855442877e+000
 6.88660901829021e+001    9.03713988283692e+000
 7.00030880997335e+001    8.50624286778835e+000
 7.09180776203969e+001    8.27046140250523e+000
 7.14908479690982e+001    8.00079742238913e+000
 7.29018613448992e+001    7.67244511696394e+000
 7.38765695194744e+001    7.31860516595794e+000
 7.54665772368376e+001    6.51799366448922e+000
 7.64832027577019e+001    5.54001484596732e+000
 7.75002785061909e+001    4.89098358573979e+000

Линия #6
 5.97084718408595e+001    1.20022387280031e+001
 6.07093624834556e+001    1.20279644747316e+001
 6.19659362396873e+001    1.13621651215586e+001
 6.29662843002741e+001    1.09914668877785e+001
 6.39153641331358e+001    1.06629197723234e+001
 6.59077137268053e+001    1.00733416471520e+001
 6.68654056060266e+001    9.78697090317393e+000
 6.78660653626612e+001    9.64400559436685e+000
 6.88660324614117e+001    8.99496711895302e+000
 7.02079185803746e+001    8.16051278617593e+000
 7.09181007089931e+001    8.28733050805879e+000
 7.17396737696809e+001    8.54914797308101e+000
 7.28342694797043e+001    8.28813860892363e+000
 7.38771005571855e+001    7.70659459368977e+000
 7.48861183856223e+001    7.42024549527059e+000
 7.58774734380132e+001    6.72903064837973e+000
 7.69550413083846e+001    6.52705593847351e+000

Линия #7
 6.00346098056113e+001    1.27867892247831e+001
 6.09489297569868e+001    1.20618036984468e+001
 6.19152221382695e+001    1.18091747731690e+001
 6.29072583042465e+001    1.16155985401081e+001
 6.39417197656277e+001    1.11690037617095e+001
 6.58314867266547e+001    1.06299896620811e+001
 6.68148762133779e+001    1.03689333992128e+001
 6.79007328897629e+001    9.97296758303381e+000
 6.88327040728861e+001    9.64441325239241e+000
 6.99526972386616e+001    9.18941999714856e+000
 7.09104699279694e+001    8.96209112260795e+000
 7.16969483225269e+001    8.58286814622239e+000
 7.27914632224638e+001    8.26281691262756e+000
 7.39973575101720e+001    8.06933086939532e+000
 7.50315880855917e+001    7.45404503546120e+000
 7.69807966373769e+001    6.59454318346718e+000

Линия #8
 5.97029882992767e+001    1.42458261590331e+001
 5.99597450326328e+001    1.43387144673721e+001
 6.08830926250983e+001    1.39595492124768e+001
 6.19341432428049e+001    1.31334067743096e+001
 6.29602004551917e+001    1.27964575744160e+001
 6.39351856929205e+001    1.26450468900527e+001
 6.49439726353959e+001    1.21900067360979e+001
 6.58249180210533e+001    1.20807291320939e+001
 6.68081458876036e+001    1.17015891303507e+001
 6.80050587114139e+001    1.11960210267845e+001
 6.87918834349135e+001    1.10698346337023e+001
 6.99209042417792e+001    1.09606616498995e+001
 7.09465574037335e+001    1.03285031028187e+001
 7.18871983547066e+001    1.00842979075383e+001
 7.28791998877894e+001    9.86541801614701e+000
