Создано программой GetData Graph Digitizer 2.26.0.20, дата создания February 21 2017, 03:15,
на основе файла 'Z:\Study\МСС\ЦНИИМАШ\Сканы эксперимента\frame3.jpg'

Линия #1
 3.90416145475430e+001    1.45185315612930e+001
 3.99405106364373e+001    1.44747411572779e+001
 4.09679344046484e+001    1.44899121798921e+001
 4.19774372694523e+001    1.40485917644202e+001
 4.29614325378138e+001    1.37087637530969e+001
 4.39880438681026e+001    1.32589603039877e+001
 4.49295264757270e+001    1.30882862995787e+001
 4.59733792158881e+001    1.27060865485687e+001
 4.69569756510878e+001    1.21379983420358e+001
 4.79835574381794e+001    1.16712867303185e+001
 4.89937545681169e+001    1.16273081361374e+001
 5.00199966084410e+001    1.09661526544267e+001
 5.09610065249105e+001    1.05249480482878e+001
 5.20307213798800e+001    1.02441538444267e+001
 5.30150120802133e+001    1.00734074591846e+001
 5.39987119166031e+001    9.56449782178007e+000
 5.48719231498720e+001    9.52075084626488e+000

Линия #2
 3.90267365934448e+001    1.58035808718434e+001
 3.99691498117803e+001    1.61655139895902e+001
 4.09957315988719e+001    1.56988023778729e+001
 4.19976920854366e+001    1.58408280485477e+001
 4.29814362366221e+001    1.53572806550554e+001
 4.39914117925808e+001    1.51864908413134e+001
 4.49492051993664e+001    1.45508134128479e+001
 4.59761858196199e+001    1.43123619963402e+001
 4.69433532828696e+001    1.41416445634313e+001
 4.79864674431013e+001    1.33367407472184e+001
 4.89963691410670e+001    1.31236805269561e+001
 4.99798474034779e+001    1.24879596699907e+001
 5.10066212213512e+001    1.21311511152262e+001
 5.19908380636916e+001    1.19181343234637e+001
 5.30344249150781e+001    1.13837611089807e+001
 5.39754643747448e+001    1.09594646654499e+001
 5.48998680600814e+001    1.08141818572863e+001

Линия #3
 3.90458983111336e+001    1.69702151394705e+001
 4.00134646075452e+001    1.70277579017712e+001
 4.09291589583541e+001    1.67979487567336e+001
 4.19815290022612e+001    1.63903722856449e+001
 4.29661594493621e+001    1.64140697703962e+001
 4.40096428995585e+001    1.58205179867847e+001
 4.49763672148505e+001    1.53961781147541e+001
 4.60028308291535e+001    1.48618338526043e+001
 4.70038016186127e+001    1.44374360759071e+001
 4.80563636933014e+001    1.41397626617712e+001
 4.89719103281245e+001    1.38254127036930e+001
 4.99991125223568e+001    1.37137725067462e+001
 5.09653936896913e+001    1.30358101955937e+001
 5.20347540262946e+001    1.25521180404352e+001
 5.29335319424002e+001    1.24406949859877e+001
 5.40026263902290e+001    1.18048293673561e+001
 5.49184241422280e+001    1.16341987914469e+001

Линия #4
 3.90473016129995e+001    1.77733528633562e+001
 3.99721779894909e+001    1.78986006569225e+001
 4.09566164058101e+001    1.78123950847210e+001
 4.20259324276177e+001    1.73033406856503e+001
 4.29668241712985e+001    1.67945034290789e+001
 4.39938047915521e+001    1.65560520125712e+001
 4.49347408500287e+001    1.60725769999120e+001
 4.59619135010638e+001    1.59440286403571e+001
 4.70058400992179e+001    1.56040992958674e+001
 4.80149589024584e+001    1.49429727664900e+001
 4.90160035499106e+001    1.45608453963131e+001
 4.99828017231956e+001    1.41787759308027e+001
 5.09673139975077e+001    1.41348407651215e+001
 5.19940139573881e+001    1.37357618038367e+001
 5.29346102690972e+001    1.30578429211841e+001
 5.40471332167756e+001    1.27769763364899e+001
 5.49199751600798e+001    1.25218773283732e+001

Линия #5
 3.90493253220061e+001    1.89315620020125e+001
 4.00168325320234e+001    1.89552884390970e+001
 4.10179805806656e+001    1.86323396380486e+001
 4.19848230687464e+001    1.82756324164504e+001
 4.29001333579921e+001    1.78260171575072e+001
 4.39269810338583e+001    1.75114790092630e+001
 4.48683159254968e+001    1.72562641918133e+001
 4.59376319473044e+001    1.67472097927427e+001
 4.69469723245237e+001    1.62128944829261e+001
 4.79739972595730e+001    1.59998053103306e+001
 4.89748203330464e+001    1.54908667205928e+001
 4.99158302495159e+001    1.50496621144539e+001
 5.09000766350535e+001    1.48535534852996e+001
 5.19694369716568e+001    1.43698613301411e+001
 5.29362646881391e+001    1.40047000272388e+001
 5.39198906665359e+001    1.34535199833140e+001
 5.49044029408480e+001    1.34095848176328e+001

Линия #6
 3.90328372636618e+001    1.92951164504203e+001
 3.99922112314964e+001    1.95640257214892e+001
 4.09594525527390e+001    1.94355786951006e+001
 4.19598767930505e+001    1.86983799101532e+001
 4.29441674933838e+001    1.85276335249111e+001
 4.40139562063462e+001    1.82891097275704e+001
 4.49379167437252e+001    1.78902044802849e+001
 4.59642326420422e+001    1.72713194050945e+001
 4.69651295735085e+001    1.68046512218771e+001
 4.79917113606001e+001    1.63379396101598e+001
 4.90015096573757e+001    1.60657008207691e+001
 4.99852833517584e+001    1.55990615898849e+001
 5.09436971656848e+001    1.53184555761898e+001
 5.19702789527764e+001    1.48517439644725e+001
 5.29967868818751e+001    1.43427619462349e+001
 5.39807082922437e+001    1.39606635283913e+001
 5.48793828071591e+001    1.37900619048154e+001

Линия #7
 3.90518808085619e+001    2.03941180676149e+001
 3.99510280146322e+001    2.04940470457689e+001
 4.09180477618960e+001    2.02387887998194e+001
 4.19192105821369e+001    1.99242940800751e+001
 4.29881129991840e+001    1.91785254044907e+001
 4.39976897219808e+001    1.87794753955391e+001
 4.48958029161499e+001    1.82876186824089e+001
 4.59652666539434e+001    1.78631050963788e+001
 4.69916268670562e+001    1.72695822651006e+001
 4.79334787646453e+001    1.73102602932930e+001
 4.89600605517369e+001    1.68435486815757e+001
 5.00294208883403e+001    1.63598565264172e+001
 5.09277999712840e+001    1.60201732767601e+001
 5.20143426313653e+001    1.55702684944846e+001
 5.30668013048639e+001    1.52134165112202e+001
 5.39391557854148e+001    1.46793328200695e+001
 5.48803429610674e+001    1.43395771895793e+001

Линия #8
 3.90798848051656e+001    2.17213654038526e+001
 3.99108492664720e+001    2.19989458987247e+001
 4.09637363163296e+001    2.18872622732781e+001
 4.19895056654989e+001    2.09555761898375e+001
 4.29054511334838e+001    2.08694864269689e+001
 4.40002008937408e+001    2.02166692172294e+001
 4.49156588989723e+001    1.98515947713268e+001
 4.60281523034535e+001    1.95538200240245e+001
 4.69948766187456e+001    1.91294801519938e+001
 4.79956701490218e+001    1.86036333996480e+001
 4.90052025570228e+001    1.81792211467842e+001
 5.00065426364467e+001    1.79661754026885e+001
 5.09306361182130e+001    1.76433568871397e+001
 5.18888431297590e+001    1.72443937351878e+001
 5.28988482289149e+001    1.70905120840539e+001
 5.39680165347366e+001    1.64969168719426e+001
 5.49261496882897e+001    1.60556833134705e+001

Линия #9
 3.91269471182679e+001    2.41560684385889e+001
 3.99835521204039e+001    2.44082432610490e+001
 4.09851137738066e+001    2.43220087365143e+001
 4.19678534562882e+001    2.32635838143458e+001
 4.29349470615450e+001    2.30505959749166e+001
 4.40472188920474e+001    2.26260100080535e+001
 4.48175725300262e+001    2.25148040961052e+001
 4.59895245731451e+001    2.19463974139067e+001
 4.69732539527321e+001    2.14543959391103e+001
 4.79833033666837e+001    2.13258765318886e+001
 4.89408456562933e+001    2.05464797212540e+001
 4.99931122990102e+001    2.00797246810369e+001
 5.09514522549436e+001    1.97568482608215e+001
 5.19608812617545e+001    1.92732574388293e+001
 5.29876846228250e+001    1.89333570466729e+001
 5.39457734615823e+001    1.84667612442886e+001
 5.49129409248321e+001    1.82960438113797e+001
