Создано программой GetData Graph Digitizer 2.26.0.20, дата создания February 21 2017, 02:45,
на основе файла 'Z:\Study\МСС\ЦНИИМАШ\Сканы эксперимента\frame2.jpg'

Линия #1
 1.61896632964728e+001    5.01693317981622e+000
 1.70153845954145e+001    5.42737943952408e+000
 1.80303979459514e+001    5.83853963168874e+000
 1.90283664835971e+001    6.01202521869049e+000
 2.00089280498870e+001    6.47397196971369e+000
 2.09895129812392e+001    6.90197447756370e+000
 2.19704600710558e+001    6.80384121622937e+000
 2.29852748185638e+001    7.50352747536609e+000
 2.39830330706495e+001    7.98251125092649e+000
 2.49464096336748e+001    8.41044885582588e+000
 2.60303966478924e+001    8.61820320075391e+000
 2.69938257823077e+001    8.96976625851364e+000
 2.80001473296979e+001    9.50818491110243e+000
 2.90065623373370e+001    9.91082659099848e+000
 2.99784671480735e+001    1.04491154376860e+001
 3.10368402128298e+001    1.03682463612161e+001
 3.20172499062152e+001    1.10508306928650e+001
 3.30495767678590e+001    1.13093066937009e+001
 3.40214991023922e+001    1.18221373580086e+001
 3.48560056647295e+001    1.19695481845996e+001
 3.60254737590880e+001    1.29922888804371e+001
 3.69719164932676e+001    1.30213167251010e+001

Линия #2
 1.61885067258928e+001    6.69717321688879e+000
 1.70487148566748e+001    7.00591655297833e+000
 1.80207890641124e+001    7.29810963666030e+000
 1.90272274368137e+001    7.66680707338317e+000
 1.99389380059996e+001    8.15395239498378e+000
 2.10314006965385e+001    8.54843252883963e+000
 2.19777207641414e+001    8.75566765016271e+000
 2.29841182479838e+001    9.18376751243865e+000
 2.40163282843165e+001    9.61196472914052e+000
 2.49627885422927e+001    9.61553439142450e+000
 2.59347692894814e+001    1.00435044477992e+001
 2.69928502909599e+001    1.03869384109940e+001
 2.80251012161515e+001    1.07557332021428e+001
 2.90316330491017e+001    1.09886536661730e+001
 3.00034969709793e+001    1.15863449384136e+001
 3.09842396165014e+001    1.17852238048446e+001
 3.20162744148674e+001    1.24680028453454e+001
 3.30138340639242e+001    1.32355126878778e+001
 3.39946351221019e+001    1.33495309463759e+001
 3.49924459455776e+001    1.37521401747966e+001
 3.59988259056233e+001    1.42056982194525e+001
 3.70052409132624e+001    1.46083398993485e+001
 
 Линия #3
 1.61279853734710e+001    7.12124909622641e+000
 1.70740776317173e+001    7.65944058848803e+000
 1.80200121757935e+001    8.42675572216864e+000
 1.89663380846620e+001    8.62550478269843e+000
 1.99124478667049e+001    9.13823809258016e+000
 2.10567459477843e+001    9.22741474672922e+000
 2.20373659267298e+001    9.60450088981945e+000
 2.31212010680430e+001    1.00328928153732e+001
 2.40160011734453e+001    1.00871841335651e+001
 2.50479775591558e+001    1.08548237819988e+001
 2.58737806358153e+001    1.11464651906005e+001
 2.70523202155816e+001    1.14903534744497e+001
 2.79381422958251e+001    1.20877202319372e+001
 2.90048274814670e+001    1.24311866466073e+001
 3.00373120572807e+001    1.24605390060243e+001
 3.09833634266681e+001    1.30581329238390e+001
 3.19811392025504e+001    1.35116585170195e+001
 3.30135595244431e+001    1.36343575451627e+001
 3.40197467227255e+001    1.43679555959973e+001
 3.49054695014545e+001    1.51095853869709e+001
 3.59378956646127e+001    1.52237983543208e+001
 3.70044640249435e+001    1.57369859848568e+001

Линия #4
 1.62129173746497e+001    8.73392516170570e+000
 1.70128728512256e+001    9.07638558064127e+000
 1.80192119224124e+001    9.58934605085016e+000
 1.91120426126813e+001    9.44920435472837e+000
 2.00582516962386e+001    9.81767463112408e+000
 2.10904033199157e+001    1.03307324557589e+001
 2.20022482382094e+001    1.06226983791137e+001
 2.30346159887121e+001    1.08217719543966e+001
 2.41528853904756e+001    1.12248355034717e+001
 2.50732994453394e+001    1.15677502430616e+001
 2.59078702615978e+001    1.16218144009263e+001
 2.69657760251097e+001    1.22198301879200e+001
 2.79979860614423e+001    1.26480274046219e+001
 2.90043251326292e+001    1.31609878748308e+001
 3.00020950672459e+001    1.36229995288046e+001
 3.09827384112537e+001    1.39661414287216e+001
 3.19549177614713e+001    1.41055854181243e+001
 3.28408157781669e+001    1.45926333852990e+001
 3.41052394853975e+001    1.51659698253202e+001
 3.49396350636893e+001    1.54746158069838e+001
 3.59718451000219e+001    1.59028130236857e+001
 3.69439193074596e+001    1.61950061073677e+001
 3.75200900593343e+001    1.66469415782580e+001

Линия #5
 1.62121813751897e+001    9.80316882166097e+000
 1.70121718993589e+001    1.00947128758368e+001
 1.80185927482635e+001    1.04888684949395e+001
 1.89906903207634e+001    1.07471173354483e+001
 2.00228769920338e+001    1.12092587953234e+001
 2.10036371613526e+001    1.13826794793745e+001
 2.19500623717355e+001    1.14371655064183e+001
 2.30336813862232e+001    1.21795416813239e+001
 2.40143422540276e+001    1.24972253988611e+001
 2.49607265755516e+001    1.26111138514579e+001
 2.59585607640895e+001    1.29797788367055e+001
 2.69390463939272e+001    1.35520443780415e+001
 2.79971098716090e+001    1.39209365236162e+001
 2.89175998629250e+001    1.41535324728933e+001
 3.00012772900682e+001    1.48110480398660e+001
 3.10077565516284e+001    1.51203430510358e+001
 3.19283808920521e+001    1.51577596020670e+001
 3.30722525607459e+001    1.58664186941267e+001
 3.40442333079346e+001    1.62943887505014e+001
 3.49646882516573e+001    1.65779010645382e+001
 3.59710039577819e+001    1.71248057779203e+001
 3.69689374478343e+001    1.73492077296818e+001

Линия #6
 1.62373689122655e+001    1.07112746809695e+001
 1.70115527252100e+001    1.09942353199261e+001
 1.79577559675018e+001    1.13711916571151e+001
 1.89384810892273e+001    1.15955287059260e+001
 1.99706327129044e+001    1.21085865305609e+001
 2.11405096958518e+001    1.25373029708677e+001
 2.19147694452485e+001    1.27099448195114e+001
 2.30673796472135e+001    1.32234569648005e+001
 2.38933988506986e+001    1.32011141240503e+001
 2.49255095855168e+001    1.37735743742382e+001
 2.59924284217809e+001    1.37775983571765e+001
 2.69901866738666e+001    1.42565821327369e+001
 2.78848465888956e+001    1.45145389099679e+001
 2.90890001181234e+001    1.51470506152151e+001
 3.00352676143363e+001    1.54306602836778e+001
 3.10675360633245e+001    1.57739968924467e+001
 3.20654286645179e+001    1.60578012697613e+001
 3.30459142943557e+001    1.66300668110974e+001
 3.40178541526855e+001    1.71174392930251e+001
 3.49900101378409e+001    1.72908275256010e+001
 3.59964893994011e+001    1.76001225367708e+001
 3.69684292577309e+001    1.80874950186985e+001

Линия #7
 1.61848676174516e+001    1.19839890911121e+001
 1.70707656341473e+001    1.24710370582867e+001
 1.81032326861644e+001    1.25258476000836e+001
 1.90753477824609e+001    1.27586382582125e+001
 2.00215335009560e+001    1.31610527777814e+001
 2.09419125082264e+001    1.35548838821310e+001
 2.20000694461572e+001    1.37879990550130e+001
 2.29805784410571e+001    1.43263203531759e+001
 2.40644486299636e+001    1.47037959139698e+001
 2.50105817770688e+001    1.51825849806784e+001
 2.59570420350450e+001    1.51861546429624e+001
 2.69633402173730e+001    1.57585175387243e+001
 2.79354553136695e+001    1.59913081968532e+001
 2.91142285440581e+001    1.59957540489706e+001
 3.00000506243015e+001    1.65931208064581e+001
 3.10666773972878e+001    1.70214478290612e+001
 3.20643947605146e+001    1.75598340301747e+001
 3.29589787390914e+001    1.79281095977185e+001
 3.40772481408550e+001    1.83311731467936e+001
 3.51611241710271e+001    1.87001626467943e+001
 3.61417091023792e+001    1.91281651546443e+001
 3.70278407696971e+001    1.92757706900871e+001

Линия #8
 1.62094535041752e+001    1.37661592121301e+001
 1.69836139520575e+001    1.40830640942599e+001
 1.80417533661915e+001    1.43416374495217e+001
 1.90226537258837e+001    1.43113926745338e+001
 2.00202893113927e+001    1.49685837267534e+001
 2.10009735442593e+001    1.52523232011174e+001
 2.19472936118622e+001    1.54595583224405e+001
 2.30912821058671e+001    1.59984961986342e+001
 2.40116961607309e+001    1.63414109382241e+001
 2.50094135239576e+001    1.68797971393375e+001
 2.58698903529552e+001    1.67981816789355e+001
 2.70226173802313e+001    1.71419726083587e+001
 2.79945981274201e+001    1.75699426647334e+001
 2.90270184493127e+001    1.76926416928766e+001
 3.00848658001690e+001    1.83755180878033e+001
 3.09450914547477e+001    1.86588032415130e+001
 3.19775351417026e+001    1.87475580264830e+001
 3.30958863211839e+001    1.90318167244519e+001
 3.40420136270235e+001    1.95190918519538e+001
 3.50739724889373e+001    2.03121896827674e+001
 3.60547501820528e+001    2.04601521844386e+001
 3.70266316277271e+001    2.10323852742993e+001

Линия #9
 1.61219688699488e+001    1.58618917133211e+001
 1.70080246008144e+001    1.61198160390768e+001
 1.78423384013884e+001    1.65472668718465e+001
 1.91067679498845e+001    1.71121172510745e+001
 1.99068168867093e+001    1.73188006973173e+001
 2.10509981424776e+001    1.75776985673323e+001
 2.19457398352244e+001    1.77168504934571e+001
 2.29435915475589e+001    1.80600572963248e+001
 2.41220727146698e+001    1.84888061881069e+001
 2.49565383881482e+001    1.86956194402510e+001
 2.59889470275098e+001    1.88352905899808e+001
 2.71070003024478e+001    1.95523383884078e+001
 2.80533262113162e+001    1.97510874489376e+001
 2.90852850732300e+001    2.05441852797512e+001
 2.99112049752006e+001    2.06661054724870e+001
 3.12016223141536e+001    2.09764713823420e+001
 3.19757418731770e+001    2.13527786900248e+001
 3.29219918455933e+001    2.16618465408674e+001
 3.39542018819260e+001    2.20900437575693e+001
 3.51067711950321e+001    2.26629583284115e+001
 3.60529978023861e+001    2.30059704224273e+001
 3.70249785495748e+001    2.34339404788020e+001

